Category,Count,Percentage
music_school,236,0.2407647340875935
cannabis_clinic,127,0.12956407300476427
appliance_repair_service,69,0.07039307903408454
urgent_care_clinic,1,0.0010201895512186164
dentist,1271,1.2966609195988614
internet_service_provider,84,0.08569592230236378
print_media,38,0.03876720294630742
accountant,458,0.4672468144581264
swimwear_store,15,0.015302843268279246
wine_bar,71,0.07243345813652177
art_school,70,0.07141326858530316
toy_store,83,0.08467573275114516
beach,56,0.057130614868242516
breakfast_and_brunch_restaurant,107,0.10916028198039195
hiking_trail,22,0.022444170126809562
dance_school,267,0.2723906101753706
linen,63,0.06427194172677284
chiropractor,436,0.4448026443313167
recreational_vehicle_dealer,2,0.002040379102437233
naturopathic_holistic,433,0.44174207567766094
information_technology_company,319,0.3254404668387387
organization,15,0.015302843268279246
refinishing_services,4,0.004080758204874466
auto_security,4,0.004080758204874466
damage_restoration,50,0.05100947756093082
pet_store,227,0.23158302812662596
pet_breeder,6,0.006121137307311699
advertising_agency,637,0.6498607441262586
bridge,20,0.020403791024372328
sports_medicine,7,0.0071413268585303145
interior_design,356,0.36318748023382746
it_service_and_computer_repair,310,0.3162587608777711
topic_concert_venue,224,0.22852245947297006
nature_reserve,5,0.005100947756093082
marketing_consultant,112,0.11426122973648503
pet_services,117,0.11936217749257813
plumbing,185,0.18873506697544404
weight_loss_center,45,0.04590852980483774
train_station,136,0.13874577896573184
transportation,286,0.2917742116485243
legal_services,199,0.20301772069250468
music_and_dvd_store,71,0.07243345813652177
texmex_restaurant,24,0.024484549229246796
burger_restaurant,263,0.2683098519704961
e_cigarette_store,88,0.08977668050723825
fitness_trainer,78,0.07957478499505208
furniture_store,629,0.6416992277165097
indian_restaurant,345,0.35196539517042263
lodge,9,0.009181705960967547
immigration_law,290,0.29585496985339876
massage,104,0.10609971332673611
nail_salon,323,0.3295212250436131
supermarket,229,0.2336234072290632
brokers,14,0.014282653717060629
home_developer,151,0.15404862223401108
accommodation,256,0.2611685251119658
retail,276,0.28157231613633815
business_management_services,110,0.1122208506340478
community_center,173,0.17649279236082063
music_production,203,0.20709847889737915
